Tarik,Yousef,CEO,Silatech,
Dina,Sherif,Co-Founder,Ahead of the Curve,
Matthew,Craig,Associate Director MENA,World Economic Forum,
Andras,Bodor,Senior Economist,World Bank,
Nader ,Kabbani,Director of Research and Policy,Silatech,
Panagiotis,Moraris,Global Shaper,Athens Hub,
Dhari ,Al-Wazzan,Global Shaper,Kuwait Hub,
Rawan,Al Butairi,Global Shaper,Al Khobar Hub,
Yousri,Alghoul,Global Shaper,Gaza Hub,
Wadah,Khanfar,President,Al Sharq Forum,
Hasan,Al-Thawadi,Secretary General,Supreme Committee for Delivery & Legacy,
Kavliash,Chawla,Chairman,Growmada,
Muneer,Khan,Partner,Simmons & Simmons,
Mohamamd Raafi,Hossain,Manager,Silatech,
Ashique,Rafi,Global Shaper,Abu Dhabi Hub,
Alanoud,Al-Thani,Qatar Country Director,Silatech,
Abdulla,Al Kuwari,Investment Analyst,Qatar Holding,
Tamer,Taha,Founder,Yomken,
Justin,Sykes,Director of Enterprise,Silatech,
Nasser,Al Khater,Executive Director,Qatar 2022 Supreme Committee,
Mushtaq,AlWaeli,Advisor,Qatar 2022 Supreme Committee,
Aysha,Al-Mudahka,Executive Director,INJAZ,
Khalid,Al-Khudair,CEO,Glowork,
Raed,Al Emadi,Deputy CEO,Silatech,
Felice,D'Antonio ,Manager,Al Madaeen,
Fatma,Al-Nuaimi,Human & Social Development Manager,Supreme Committee for Delivery & Legacy,
Mohammed,El Dallal,Global Shaper,Alexandria Hub,http://www.globalshapers.org/shapers/mohamed-el-dallal
